QueryNumber;QueryText
00001;what are the effect of calcium on the physic properti of mucu from cf patients?
00002;can one distinguish between the effect of mucu hypersecret and infect on the submucos gland of the respiratori tract in cf?
00003;how are salivari glycoprotein from cf patient differ from those of normal subjects?
00004;what is the lipid composit of cf respiratori secretions?
00005;is cf mucu abnormal?
00006;what is the effect of water or other therapeut agent on the physic properti (viscosity, elasticity) of sputum or bronchial secret from cf patients?
00007;are mucu glycoprotein degrad differ in cf patient as compar to those from normal subjects?
00008;what histochem differ have been describ between normal and cf respiratori epithelia?
00009;what is the associ between liver diseas (cirrhosis) and vitamin a metabol in cf?
00010;what is the role of vitamin e in the therapi of patient with cf?
00011;what is the differ between meconium ileu and meconium plug syndrome?
00012;what abnorm of amino acid transport have been describ in the small bowel of cf patients?
00013;what are the clinic or biochem featur of pancreat in cf patients?
00014;what non-invas test can be perform for the evalu of exocrin pancreat function in patient with cf?
00015;what are the hepat complic or manifest of cf?
00016;what are the gastrointestin complic of cf after the neonat period (exclud liver diseas and meconium ileus)?
00017;what is the most effect regimen for the use of pancreat enzym supplement in the treatment of cf patients?
00018;is dietari supplement with bile salt of therapeut benefit to cf patients?
00019;what complic of pancreat enzym therapi have been report in cf patients?
00020;what is the effect of treatment of cf patient with essenti fatti acid supplements?
00021;doe pancreat insuffici in cf patient affect their abil to absorb or metabol iron?
00022;what is the frequenc of cf in non-caucasian populations?
00023;what congenit or hereditari diseas or condit have been found in associ with cf?
00024;what are the characterist of patient in whom cf is incomplet manifested?
00025;what evid is there that the genet basi for cf involv more than one gene?
00026;what is the heterozygot advantag in cf?
00027;what is the concord of clinic or biochem manifest of cf in sibl pair (both of whom have cf)?
00028;what is the incid of male fertil in cf?
00029;what is the patholog of the reproduct system (male or female) in cf?
00030;what are the result of genet counsel of famili of children with cf?
00031;what are the major psycholog or social effect of cf on patient and their families?
00032;what factor influenc complianc with prescrib therapi in cf patients?
00033;what condit or factor lead to erron sweat tests?
00034;what altern techniqu other than the classic gibson-cook quantit pilocarpin iontophoresi test (with titrimetr analysi of chloride) are avail for sweat test what are their rel advantag and disadvantages?
00035;ha ani cf patient been found to have consist normal sweat tests?
00036;what is the concentr of potassium in sweat from cf patients?
00037;what techniqu are avail for screen of newborn infant for cf, and what factor contribut to erron result of these tests?
00038;can cf be diagnos prenatally?
00039;how may heterozygot for cf be identified?
00040;other than the sweat test, what techniqu may be use (beyond the neonat period) for the diagnosi of cf?
00041;is vitamin d metabol normal in cf patients?
00042;what abnorm of insulin secret or insulin metabol occur in cf patients?
00043;is salt (sodium and/or chloride) transport/perm abnorm in cf?
00044;what structur or enzymat differ are there between fibroblast from cf patient and non-cf patients?
00045;what abnorm of prostaglandin metabol have been describ in cf patients?
00046;what are the properti and activ of galactosyltransferas enzym from cf patients?
00047;what differ between normal subject and cf patient have been describ in the function or metabol of hormones?
00048;do fibroblast from cf patient grow at a normal rate?
00049;is rna methyl or polyamin metabol normal in cf patients?
00050;what defect in the synthesi or metabol of cyclic nucleotid have been describ in cf patients?
00051;"what circul or secret ""factors"" have been describ in cf patients? (""factors"" are unidentifi biolog activ molecul thought to play some pathogenet role in cystic fibrosis)."
00052;what is known about prolactin in cf patients?
00053;doe secretori iga protect cf patient against bacteri colon or infection?
00054;what is the relationship of allergi or hypersensit to lung diseas in cf patients?
00055;what are the interact between proteas (endogen or bacteri origin) and antiproteas in the lung of cf patients?
00056;what is the relationship between nutrit and pulmonari host defens against bacteri infect in cf patients?
00057;what is the pathophysiolog role of circul antibodi to pseudomona aeruginosa in cf patients?
00058;what is the immunolog respons to pulmonari infect in cf patients?
00059;what immunolog abnorm have been found in cf patients?
00060;what are the effect of cf on the pulmonari circulation?
00061;is there a defect in mucociliari transport (clearance) in the respiratori tract of cf patients?
00062;what are the clinic featur of lung diseas in cf patients?
00063;what are the biochem or microscop characterist of airway inflamm in cf patients?
00064;how doe lung function chang with time in cf patients? (time period greater than a day)
00065;what are the abnorm of pulmonari function in cf patients?
00066;what are the patholog featur of lung diseas in cf patients?
00067;what is the prognosi for patient who have had an episod of respiratori failure?
00068;what are the effect of bronchodil in cf patients?
00069;what is the best way to treat pneumothorax in cf patients?
00070;what is the treatment for and prognosi of hemoptysi in cf patients?
00071;what is the prognosi for infant with wheez and cystic fibrosis?
00072;what is the best treatment for nasal polyp in cf patients?
00073;how effect is bronchial lavag in cf patients?
00074;what are the result of mechan ventil in cf patient with respiratori failure?
00075;what is the best treatment for pulmonari hypertens and/or cor pulmonal in cf patients?
00076;what are the effect of exercis train program on lung function in cf patients?
00077;what techniqu are effect in promot clearanc of mucu from the lung of cf patients?
00078;what special consider are there for treatment of cf patient with antibiot (ie, are the pharmacodynam of antibiot differ in cf patients, or are there other special problem peculiar to cf)?
00079;what is the role of oral administ antibiot in the treatment of cf patients?
00080;what is the evid that combin therapi with aminoglycosid and semisynthet penicillin is more effect than therapi with either alone?
00081;how effect are inhal of mucolyt agent in the treatment of cf patients?
00082;what is the role of aerosol in the treatment of lung diseas in cf patients?
00083;what is the role of bacteri phagocytosi (bi alveolar macrophag or polymorphonuclear leukocytes) in lung diseas in cf patients?
00084;what is the relationship between haemophilu influenza and pseudomona aeruginosa in cf patients?
00085;do cf patient ever develop infect in organ other than the lung? if so, in what organs?
00086;what is the role of bacteria other than pseudomona aeruginosa, staphylococcu aureus, or haemophilu influenza in the pathogenesi of lung diseas in cf patients?
00087;what is the role of fungi in the pathogenesi of lung diseas in cf patients?
00088;what is the role of viral infect in the lung diseas of cf patients?
00089;what is the epidemiolog of pseudomona aeruginosa in cf patients? specifically, do cf patient spread pseudomona aeruginosa to other patient or to other individu (family)?
00090;what factor are respons for the appear of mucoid strain of pseudomona aeruginosa in cf patients?
00091;what are the unusu manifest of cf (other than lung diseas or exocrin pancreat insufficiency)?
00092;what is the prognosi for surviv of patient with cf?
00094;what anim model are avail which are relev to cf?
00095;what abnorm of skelet muscl function or structur have been found in cf patients?
00096;is there an increas incid of dental problem (eg, cari or periodont disease) in cf patients?
00097;is oxygen transport by red blood cell abnorm in cf patients?
00098;what are the effect of cf on the develop and/or function of the brain and central nervou system?
00099;are there abnorm of tast in cf patients?
00100;what is the incid of and treatment for hypertroph osteoarthropathi in cf patients?
